post_id,title,content,like_count,category,keyword
1,雨季不再来 - 小红书,没有任何词句能比“雨季不再来”更好的形容我每次回顾青春往事时的心情。 	 生命中曾奉为圭臬的沉默、不能开解的结、和自以为天长地久的隐痛居然都随着雨季的结束消失殆尽。曾折磨我不得安睡的理想和恐惧如今成了我生命中平静的湖泊。我依旧追寻它们，却不再迷恋。 	 在偶尔的书写和表达以及更长时间的沉默中，会梦见高中时的人和事。我最想逃离的自己，你如今过得还好吗？ 	 原来一切就像我曾写过的那样，在没有生长痛的夜晚，人才能品味到青春的回甘。 —— 亲爱的echo，感谢你写下《雨季不再来》 	 #随笔 #原创随笔 #我会被文字打动 #青春 #girlstalk #爱是 #三毛 #icity #漫长的雨季 #回忆,7077,情感故事,青春随笔
2,“二十几岁的生命底色是混乱与懵懂” - 小红书,我始终不认为，二十几岁是人生的黄金时代。它像是一场突如其来的旋风，带着混乱和痛苦劈头盖脸地冲向每个渴望简单幸福的年轻人。生命底色在熔炉中被重塑，伤痕刻在灵hun深处，变成了只有自己能读懂的语言。 - 到二十几岁，我才不得不承认，这段生命的颜色充满混沌与绞痛。我不会明白何为伤痕，何为焚烧殆尽后的自我只能靠暗号慰藉。我不会懂得成年人如何在一次又一次溺水般的经历中试图靠岸，zui终却不得不承认，岸不一定存在。又或许，岸并不是我们想象中的那个样子。 #原来我们就是青春 #治愈 #成长 #随笔 #迷茫与成长 #小红书原创随笔 #永远会被这段文字打动 #行走二十岁 #情感 #约稿展示  @小红书创作助手 @热点薯 @校园薯,4859,情感故事,青春随笔
3,只是那时，歇斯底里的声音覆盖住了意义 - 小红书,只是那时，歇斯底里的声音覆盖住了意义。 	 学生时代是喧豗而轰然的。响了很久的上课铃在老师的谩骂声中渐渐消失，我们只能用笔尖反复摩挲着纸面来转移注意力。苦口婆心的教诲听了无数遍，却还是选择在大道理面前沉默，陷入无边的题海。 	 晚自习时，各个班级里的英语听力交错播放。教室里的灯光明晃晃的，与窗外的夜幕截然不同。车水马龙在耳边萦回，鸣笛声不断，成为一种属于晚自习的背景音。每每此刻，我总是会在心里默默想着：可不可以，把我，连同我的梦想一起带走？ 	 白昼里那些被埋藏的情绪，被淹没的委屈，在此刻也纷纷复活。我们开始在心里喋喋不休，有些话欲言又止，化为眼泪掉落。 	 但那是自由也有迹可循。夜阑人静时，走廊里依旧人满为患，昏黄的灯光将梦想的影子拖得好长好长。我们总是高谈阔论着，未来与以后，岁月与流年，总觉得多年后听起来也像是弹指之间。 却忘了，此时此刻，愿景与如今重叠的瞬间，才是最伟大的永远。 	 我们歇斯底里，总在故事的最后，才明白苦海的波澜起伏。 	 #Icelume #文字 #随笔 #我们永远在这里 #学生时代 #青春 #爱 #苦海 #学海无涯苦作舟 #那时的我们不懂永远,476,情感故事,青春随笔
4,喜欢少年。 - 小红书,喜欢情义与朦胧的爱诞生在少年时期，不知天高底厚，纯粹青涩的如纽扣一般紧紧扣着。未经世俗，骨头连着皮肉也正值青春。她们偶尔肆意妄为，蹬着单车追风的步伐，臂弯里夹本杂志漫画，看什么不爽就嚷嚷着要扁谁。后坐的吃了一嘴风，发丝撇到脸庞。少年们的叫喊就像山的起伏，起起落落。跟本不齐，也不着调。让一切去死吧，不知谁说的，也不在乎谁说的。思绪过去了，你我靠在一起，脊背的骨头仿佛在这一刻蓬勃生长了起来。嘴里说着未来，现在和过去。少年啊，就是一盏“有气”的亮灯，一盏会熄灭的灯。到油尽干枯的时候，她会走马灯花地回想那梦幻的一幕吗？ 	 #随笔 #原创随笔 #日常随笔 #原创文字,168,情感故事,青春随笔
5,人类最不擅长的事是说再见 - 小红书,人类最不擅长的事是说再见。 	 “再见”这个字真的好神奇。它太轻了，像是从口齿之间轻飘飘地叹出来的，飞到未知的远方。它又太重了，落在似水年华里，像一滴积攒已久的泪珠坠落到轻薄的纸上，晕开的是我们的百感交集。又像是重若千钧的陨石毫无征兆地降落在土地上，留下难以填平的沟壑。 	 “再见”说出口时，周围的空气仿佛都染上了悲情的色彩。我感受到，江海在吐纳，世界在叹息，宇宙在无情地吸吮着时间。 	 我想，再见这个词，大抵也有很悠久的历史吧。它囊括了太多太多，跨越了王朝的更迭和四季的变迁，从光年之外走向我们眼前，见证着我们从一开始的犹豫不决到后来的落子无悔。 	 毕业典礼那天，很多事情被带上了“最后一次”的前缀。最后一张合照，最后一次拥抱，最后一次和你说再见，最正式、最有温度的再见。我看着你眼睛里的我自己变得越来越小，看着你的背影，默默地说出了道别的话语。 随后迎来的，是泪眼婆娑。 	 “再见”这个词，早已穿透了我们生命的涟漪，穿梭在跌宕起伏之间。 	 我们该说再见，还是再也不见呢？ 	 #文字 #随笔 #我们还会再见的 #人总要离别 #Icelume #爱 #青春 #再见 #离别 #所以说永远多长,5141,情感故事,青春随笔
6,《苦橙子》｜致每个女孩失声的青春期 - 小红书,“当语言失效时，身体便开始尖叫” 这篇文字写起来很痛苦，但我希望大家都能自己治愈自己，咽下苦橙子，用声音代替咳嗽， 让那些“未发出的声音”都可以被听到#原创随笔 #原创短篇小说#青春期 #谁的青春不迷茫  #girltalk #软柿子疯起来,4617,情感故事,青春随笔
7,我抓住青春这枚鱼脊的尾梢。 - 小红书,冷鲜奶与青提味道的啫喱，我们初遇的夏季，爬过森绿色的天梯再淋雨跑到火车站，同汽水一般酸的冰荔枝终于也消弭在了饱和着迪斯科的一九九九。我载着橙红年代的太阳，手腕上那截鱼脊链磨得比珍珠还白，明晃晃地将爱情的淤青掩藏。张**跟我躺床上的时候就喜欢抓住这里，要咯得我挤出血痕，要直至教会我喊爱为止。他说我看着情歌也能三押、风流倜傥的，骂起人来流利，讲起爱来却舌头打结，问我是不是存心针对他。 	 冤枉吧我当然没有。随后我们就都缄默了，活脱脱一副淡如水的样子在黑夜里凝视着对方，任凭summer time这段青稚以灼烫来舔舐我们。 	 漂泊在海湾的人总会不可避免地彻夜忖思起三个问题：幸福、爱与以后。怎么定义幸福。什么叫做爱。以后又如何。将生命喻作漫长的旅途时，我们或许并未预设下问题的答案，以至于这就成了一门哲学，而我们将花费永远去探讨。又说到“永远”，永远是青春期里的高频词。Never，我们通常是这样解释它的。 	 #文稿 #随笔 #原创 #小红书年度诗篇,358,情感故事,青春随笔
8,“祝我们仍有勇气做各自命运的句点” - 小红书,我当然知道我们还会在此后的二十多岁中淋雨、痛哭、失眠，或许将一个人行色匆匆跋涉过风雪天，孤身在外的时刻也想过故乡的云会不会和我漂泊得同样遥远。但还好一路晦明更迭，庸碌诗行里我们仍有勇气做各自命运的句点，仍然愿意从明天起喂马、劈柴、周游世界，在穿过迷茫与失意后还将去再爱一遍人间。 	 #原创 #随笔 #情感 #文字 #成长 #祝福 #我会被文字打动 #青春 #infj #infp,7600,情感故事,青春随笔
9,我的青春大约是一场太阳雨。明明艳阳还在天上挂着，光却已变得潮湿，一粒粒雨丝砸在皮肤上，又热又凉。 	 风挟着水汽包裹全身，我看见雨珠在阳光中穿过，亮晶晶的，像无数短暂的流星，跌碎了，在水泥地上洇开深色的痕。有人在笑，笑声撞在雨线上，碎成更细的沫，飞走了。 	 过去总以为痛楚是件惊天动地的事，必要电闪雷鸣。后来才懂，最深的怅惘原是这般晴光潋滟的好天气里，无端落下的一阵雨。分明周身都被照得透亮，发梢却坠着水珠，擦不干，抹不尽。一抬头，日光刺目，只好又低下头去。 	 我们都行在这样一场雨里，衣裳半湿，在明亮的雨丝中辨认彼此湿润的轮廓。想说的话被雨声盖过，只剩下模糊的口型和一双双被水光洗得异常清亮的眼睛。 	 雨忽然就停了。水洼里倒映着重新变得干燥的天空，亮得晃眼。只有树下偶尔摇落的一两滴冷水，顺着脖颈滑进衣领，叫人蓦地一惊，想起方才那一场太阳雨是真的来过。 	 而青春已像地上一汪一汪的光，蒸发得无声无息。 #青春是一本仓促的书 #青春疼痛文学 #文字是终身热爱 #抽象 #深夜emo - 小红书,我的青春大约是一场太阳雨。明明艳阳还在天上挂着，光却已变得潮湿，一粒粒雨丝砸在皮肤上，又热又凉。 	 风挟着水汽包裹全身，我看见雨珠在阳光中穿过，亮晶晶的，像无数短暂的流星，跌碎了，在水泥地上洇开深色的痕。有人在笑，笑声撞在雨线上，碎成更细的沫，飞走了。 	 过去总以为痛楚是件惊天动地的事，必要电闪雷鸣。后来才懂，最深的怅惘原是这般晴光潋滟的好天气里，无端落下的一阵雨。分明周身都被照得透亮，发梢却坠着水珠，擦不干，抹不尽。一抬头，日光刺目，只好又低下头去。 	 我们都行在这样一场雨里，衣裳半湿，在明亮的雨丝中辨认彼此湿润的轮廓。想说的话被雨声盖过，只剩下模糊的口型和一双双被水光洗得异常清亮的眼睛。 	 雨忽然就停了。水洼里倒映着重新变得干燥的天空，亮得晃眼。只有树下偶尔摇落的一两滴冷水，顺着脖颈滑进衣领，叫人蓦地一惊，想起方才那一场太阳雨是真的来过。 	 而青春已像地上一汪一汪的光，蒸发得无声无息。 #青春是一本仓促的书 #青春疼痛文学 #文字是终身热爱 #抽象 #深夜emo,593,情感故事,青春随笔
10,天地霏雨  人与人 藕断丝连 - 小红书,#文字 #随笔 #原创 #情感共鸣 #inmyfeelings #fyp #青春 #intp#情感树洞,200,情感故事,青春随笔
