sample_id,text,title,content,text_length,label,label_id,source_category,source_keyword,keyword_in_scrape_plan,source_post_id,like_count,source_file
81ecc37ac5051d3e,"如何安稳度过二十几岁焦虑的“Odyssey时期”?

又是一期很长的talking环节 (终于想起来还有这个栏目了) 我觉得我这次讲的真的很好!! 自己当下课代表总结一下 1-接受流动Fluidity和漂泊是我们现代人的必然生活境遇 2-明确价值而非终极目标,把锚点从结果转向过程 3-建立可支撑的小环境或者支线任务 4-实验和联系自我探索 奥德赛这个词来源于《荷马史诗》里描写的英雄奥德赛,他在战后返乡时意外在海上漂泊了十年才回到家乡。因此社会学家用奥德赛时期比喻现代人漂泊不定的生活阶段。 年轻人,狠狠漂泊动荡一下吧。 橘一橙 橘一橙NiceFriend pov vlog 我的人生态度belike 人生可能性 女性成长 自我探索 三十岁 书单分享",如何安稳度过二十几岁焦虑的“Odyssey时期”?,"又是一期很长的talking环节 (终于想起来还有这个栏目了) 我觉得我这次讲的真的很好!! 自己当下课代表总结一下 1-接受流动Fluidity和漂泊是我们现代人的必然生活境遇 2-明确价值而非终极目标,把锚点从结果转向过程 3-建立可支撑的小环境或者支线任务 4-实验和联系自我探索 奥德赛这个词来源于《荷马史诗》里描写的英雄奥德赛,他在战后返乡时意外在海上漂泊了十年才回到家乡。因此社会学家用奥德赛时期比喻现代人漂泊不定的生活阶段。 年轻人,狠狠漂泊动荡一下吧。 橘一橙 橘一橙NiceFriend pov vlog 我的人生态度belike 人生可能性 女性成长 自我探索 三十岁 书单分享",326,情感故事,0,情感故事,成长感悟,0,62,162561,raw_real_texts3.csv
9c08d8b80040a350,"自存一些极其充满正能量的文案(≧∇≦)/

充满希望的文案 自由洒脱文案 积极向上热爱生活的文案 短句文案 积极乐观的温柔文案 有力量的文字 正能量文案 文案素材分享 乐观豁达的文案 有力量带着光的句子",自存一些极其充满正能量的文案(≧∇≦)/,充满希望的文案 自由洒脱文案 积极向上热爱生活的文案 短句文案 积极乐观的温柔文案 有力量的文字 正能量文案 文案素材分享 乐观豁达的文案 有力量带着光的句子,101,情感故事,0,情感故事,治愈文案,0,57,39701,raw_real_texts3.csv
0694b3408b84aee3,想要淡淡幸福感文案 二编:不要抽象!!!!!!! 在看到会删的!别发shiniaopi了。。。谢谢各位再看到的话可以向我举报我去删。。 表达积极热爱生活的文案 感知幸福的能力 日常碎片的简短文案 幸福感 幸福感文案 血魚契約 文案 梦女文案 感受到了文字的力量,想要淡淡幸福感文案,想要淡淡幸福感文案 二编:不要抽象!!!!!!! 在看到会删的!别发shiniaopi了。。。谢谢各位再看到的话可以向我举报我去删。。 表达积极热爱生活的文案 感知幸福的能力 日常碎片的简短文案 幸福感 幸福感文案 血魚契約 文案 梦女文案 感受到了文字的力量,130,情感故事,0,情感故事,治愈文案,0,41,37805,raw_real_texts3.csv
6c3c2311e102222f,"生命力 文艺感 文案

我们还年轻 长长的人生可以受一点风浪 充满希望的文案[话题] 文案素材分享[话题] 文艺句子[话题] 小众文案[话题] 治愈文案[话题] 三毛[话题] 随笔[话题] 文案[话题] 无风格小众文案[话题] 今日文案[话题]",生命力 文艺感 文案,我们还年轻 长长的人生可以受一点风浪 充满希望的文案[话题] 文案素材分享[话题] 文艺句子[话题] 小众文案[话题] 治愈文案[话题] 三毛[话题] 随笔[话题] 文案[话题] 无风格小众文案[话题] 今日文案[话题],122,情感故事,0,情感故事,治愈文案,0,17,30014,raw_real_texts2.csv
281f7b025bf716a2,"莫辜负茶 汤 好天气

/ 你花了整个童年学习如何蜷缩起来不碍事,如今需要花时间重新伸展四肢,去感受自己在天地间本应有的位置。世界不再是你记忆中的模样,而你也不再需要为存在本身道歉。 人生忽如寄,莫辜负茶、汤、好天气。 谨慎地拥有,珍惜地使用,勇敢地放弃。 在我有生之日,做一个真诚的人。不放弃对生活的热爱和执着,在有限的时空里过着无限广大的日子。 手写 摘抄 文字 文案 排版小动物 治愈拼贴 波点控 古早味 我被文字打动 4605_",莫辜负茶 汤 好天气,"/ 你花了整个童年学习如何蜷缩起来不碍事,如今需要花时间重新伸展四肢,去感受自己在天地间本应有的位置。世界不再是你记忆中的模样,而你也不再需要为存在本身道歉。 人生忽如寄,莫辜负茶、汤、好天气。 谨慎地拥有,珍惜地使用,勇敢地放弃。 在我有生之日,做一个真诚的人。不放弃对生活的热爱和执着,在有限的时空里过着无限广大的日子。 手写 摘抄 文字 文案 排版小动物 治愈拼贴 波点控 古早味 我被文字打动 4605_",218,情感故事,0,情感故事,治愈文案,0,37,29664,raw_real_texts.csv
25a90a9af41398e1,"对太有感染力的文字保持警惕

我总觉得有些网上广为流传的经验 并不可靠,也许是写的太有感染力,大家总是愿意相信。 比如: 少年心气是不可再生之物。 人的一生只有一个夏天,其他都是在比较。 人不能同时处在青春和抱有对青春的感受。 等等 其实这都是心理暗示。相信的人,我认为ta们也真的会潜移默化的遵循于此。 可是, 可是我觉得就算人到中年,你想的话,依然可以再生少年心气。我觉得干嘛要执着那一个夏天呢?你想的话,你还可以拥有别样的同样或者更加精彩的夏天,可你不愿有这样的想象,若你偏要耽溺于一种自怜的惯性里,固执地宣布“最好的已然逝去”——那又能有什么办法?忧伤比改变和执行做功少,沉浸是一种低功耗模式,只需要叹气流泪羡慕诉苦。叹气流泪、深夜发一条“少年心气不可再生”的文字、与人诉苦 一起感叹——这些动作的能量消耗极低。你只需要躺在沙发上,任由情绪漫灌,就能完成一次“有深度的自我表达”。 可事实上,控制你的大脑,你可以有所选择。 至于我——至少此刻的我——正身处于青春的腹地。我分明能感知到它正在流逝,那份怅然与灼热,恰恰正是我对青春的在场感受。 我不认可那种结论,因为我能同时握住两端。 也许,承认这样的事是一种省力的方式就能提现自己是一个有故事的人。可我仍觉得这是一种 被认为看似深沉成熟 的潮流陷阱。 更是一个剑指自己的心理暗示。 一点点思考[话题] 随笔[话题] 日记[话题] infp[话题]",对太有感染力的文字保持警惕,"我总觉得有些网上广为流传的经验 并不可靠,也许是写的太有感染力,大家总是愿意相信。 比如: 少年心气是不可再生之物。 人的一生只有一个夏天,其他都是在比较。 人不能同时处在青春和抱有对青春的感受。 等等 其实这都是心理暗示。相信的人,我认为ta们也真的会潜移默化的遵循于此。 可是, 可是我觉得就算人到中年,你想的话,依然可以再生少年心气。我觉得干嘛要执着那一个夏天呢?你想的话,你还可以拥有别样的同样或者更加精彩的夏天,可你不愿有这样的想象,若你偏要耽溺于一种自怜的惯性里,固执地宣布“最好的已然逝去”——那又能有什么办法?忧伤比改变和执行做功少,沉浸是一种低功耗模式,只需要叹气流泪羡慕诉苦。叹气流泪、深夜发一条“少年心气不可再生”的文字、与人诉苦 一起感叹——这些动作的能量消耗极低。你只需要躺在沙发上,任由情绪漫灌,就能完成一次“有深度的自我表达”。 可事实上,控制你的大脑,你可以有所选择。 至于我——至少此刻的我——正身处于青春的腹地。我分明能感知到它正在流逝,那份怅然与灼热,恰恰正是我对青春的在场感受。 我不认可那种结论,因为我能同时握住两端。 也许,承认这样的事是一种省力的方式就能提现自己是一个有故事的人。可我仍觉得这是一种 被认为看似深沉成熟 的潮流陷阱。 更是一个剑指自己的心理暗示。 一点点思考[话题] 随笔[话题] 日记[话题] infp[话题]",602,情感故事,0,情感故事,青春随笔,0,1,29302,raw_real_texts2.csv
da556dfabe1f9f98,"生命力 文艺感 文案

我们还年轻 长长的人生可以受一点风浪 充满希望的文案 文案素材分享 文艺句子 小众文案 治愈文案 三毛 随笔 文案 无风格小众文案 今日文案",生命力 文艺感 文案,我们还年轻 长长的人生可以受一点风浪 充满希望的文案 文案素材分享 文艺句子 小众文案 治愈文案 三毛 随笔 文案 无风格小众文案 今日文案,82,情感故事,0,情感故事,治愈文案,0,47,28089,raw_real_texts3.csv
94b9b1dfa1db487c,"原作者: 多年前的夏天,在大树下第一次听见蝉鸣时喜悦的时刻,已然是上个世纪的回望了。更大的世界会稀释痛苦,也会稀释爱。 阅读 女性成长 分享 明亮的夜晚 知识 生命的意义在于感受 那份具象的爱 慢慢理解世界 这个世界会好的 爱我缓慢向上的勇气","更大的世界会稀释痛苦,也会稀释爱。","原作者: 多年前的夏天,在大树下第一次听见蝉鸣时喜悦的时刻,已然是上个世纪的回望了。更大的世界会稀释痛苦,也会稀释爱。 阅读 女性成长 分享 明亮的夜晚 知识 生命的意义在于感受 那份具象的爱 慢慢理解世界 这个世界会好的 爱我缓慢向上的勇气",121,情感故事,0,情感故事,治愈文案,0,35,24498,raw_real_texts.csv
dc0b742160a0a777,"十三岁,我拥有一颗感伤的心脏,为命运多舛而叹气 命运,某天我也想将你轻描淡写。存放在日记本里,像一滴泪缓缓划过脸颊。可是,你偏偏在痛苦而孤独的周折里,与我纠缠不清,从纸页的文字里洇开,化作连绵的雨季,打湿了为幸福封存的留白。于是,痛苦拥抱了我,成为十三岁的底色 痛苦的气息越来越清晰,幸福的脚步便越来越急促 漫长的十三岁里,为什么幸福总是短暂?随着成长一并而来的是沉重心事,填满了生命的纹理,透支了鲜活的期待。藏不住的心事生长为一棵树,停驻在我的心脏,扎得很深很深。在泪水的雨季里,树杈延向了小小的天,遮得密不透风。我开始感受不到世界的喧嚣,只剩下安静的痛苦 我的十三岁和雨有一个共同点,青涩而仓促 我试图用敏感的心感知这个世界,代替迟顿的感官。然而然而,世界对我太清晰。清晰到难以承受幸福的分量,只剩下丰盈的痛苦,慢慢涌入心脏的那片干涸地,充沛成一片苦涩的海 我的痛,我的泪,我的伤被欲言又止,如鲠在喉。十三岁的我沉默着接下一切,只为幸福降临时稳稳落地,长久拥有 于是,我不再哭泣,幸福像雨下个不停 命运 随笔 原创随笔 上热门 寄秋戏雾 图源于 最近可能会多次重发","命运,某天我也想将你轻描淡写","十三岁,我拥有一颗感伤的心脏,为命运多舛而叹气 命运,某天我也想将你轻描淡写。存放在日记本里,像一滴泪缓缓划过脸颊。可是,你偏偏在痛苦而孤独的周折里,与我纠缠不清,从纸页的文字里洇开,化作连绵的雨季,打湿了为幸福封存的留白。于是,痛苦拥抱了我,成为十三岁的底色 痛苦的气息越来越清晰,幸福的脚步便越来越急促 漫长的十三岁里,为什么幸福总是短暂?随着成长一并而来的是沉重心事,填满了生命的纹理,透支了鲜活的期待。藏不住的心事生长为一棵树,停驻在我的心脏,扎得很深很深。在泪水的雨季里,树杈延向了小小的天,遮得密不透风。我开始感受不到世界的喧嚣,只剩下安静的痛苦 我的十三岁和雨有一个共同点,青涩而仓促 我试图用敏感的心感知这个世界,代替迟顿的感官。然而然而,世界对我太清晰。清晰到难以承受幸福的分量,只剩下丰盈的痛苦,慢慢涌入心脏的那片干涸地,充沛成一片苦涩的海 我的痛,我的泪,我的伤被欲言又止,如鲠在喉。十三岁的我沉默着接下一切,只为幸福降临时稳稳落地,长久拥有 于是,我不再哭泣,幸福像雨下个不停 命运 随笔 原创随笔 上热门 寄秋戏雾 图源于 最近可能会多次重发",484,情感故事,0,情感故事,青春随笔,0,6,22962,raw_real_texts.csv
91d6ad852f73c1f9,"“我的青春太过于安静,以至于......”

少年时期待的故事,似乎一个都没发生。没有清秀的女生在校门口冲我微笑,没有电影里炽热的表白场景,没有激情洋溢的校园时光,也没有恣意而为的潇洒。我的青春没有大事,只有些微末的点滴,像凌晨四点黄昏般静谧的梦。 那时的生活,总让人觉得经不起描述——每一天都平平无奇,倒是静默的日子,对我格外关照。 一个人吃饭时,看后窗的木槿从春开到秋静;傍晚把书本摊在老旧的桌子上,偶尔抬头,眼神撞上窗外绵延的树影。风吹过枝叶,有种说不出来的安宁。记得夏天的某个傍晚,夕阳斜斜地落在我的书本上,投下半透明的光影。 青春的静就是这样,带着一点浪漫的荒凉。没有烈火般的恋爱,也没有话剧般的冲突成长,但这一份安静却有自己的重量。 我以为,安静的青春就是无趣的象征。 后来才明白,安静,并不是它的缺点,反而是岁月的一种馈赠。没有大起大落,没有浓烈的情感冲撞,但它也有细微的美好。那些黄昏时刻,那些孤独的街道,那些看似无声无息的日常,它们为青春描绘了一道温柔的底色。 原来我们就是青春[话题] 成长[话题] 治愈[话题] 随笔[话题] 青春是一本仓促的书[话题] 那是我们再也回不去的青春[话题] 我的青春[话题] 校园[话题] 致青春[话题] 暗恋[话题]","“我的青春太过于安静,以至于......”","少年时期待的故事,似乎一个都没发生。没有清秀的女生在校门口冲我微笑,没有电影里炽热的表白场景,没有激情洋溢的校园时光,也没有恣意而为的潇洒。我的青春没有大事,只有些微末的点滴,像凌晨四点黄昏般静谧的梦。 那时的生活,总让人觉得经不起描述——每一天都平平无奇,倒是静默的日子,对我格外关照。 一个人吃饭时,看后窗的木槿从春开到秋静;傍晚把书本摊在老旧的桌子上,偶尔抬头,眼神撞上窗外绵延的树影。风吹过枝叶,有种说不出来的安宁。记得夏天的某个傍晚,夕阳斜斜地落在我的书本上,投下半透明的光影。 青春的静就是这样,带着一点浪漫的荒凉。没有烈火般的恋爱,也没有话剧般的冲突成长,但这一份安静却有自己的重量。 我以为,安静的青春就是无趣的象征。 后来才明白,安静,并不是它的缺点,反而是岁月的一种馈赠。没有大起大落,没有浓烈的情感冲撞,但它也有细微的美好。那些黄昏时刻,那些孤独的街道,那些看似无声无息的日常,它们为青春描绘了一道温柔的底色。 原来我们就是青春[话题] 成长[话题] 治愈[话题] 随笔[话题] 青春是一本仓促的书[话题] 那是我们再也回不去的青春[话题] 我的青春[话题] 校园[话题] 致青春[话题] 暗恋[话题]",535,情感故事,0,情感故事,青春随笔,0,3,22152,raw_real_texts2.csv
